Date,year,month_name,day_name,Sales,Cost Of Sales,Quantity Sold,Daily_Unit_Sales_Price,Gross_Profit,Gross_Profit_Percentage,Gross_Profit_Per_Unit,Gross_Profit_Per_Unit_Percentage,Previous_Unit_Price,Previous_Quantity,Promotion_Status
2013-12-30T00:00:00.000Z,2013,Dec,Mon,223937.967869726530,230079.621012448040,6827,32.80,-6141.65,-2.74,-0.90,-2.67,null,null,Unable to Determine
2013-12-31T00:00:00.000Z,2013,Dec,Tue,300345.484563985660,306986.120484283190,9268,32.41,-6640.64,-2.21,-0.72,-2.16,32.80,6827,Promotion
2014-01-01T00:00:00.000Z,2014,Jan,Wed,86782.467727417796,87986.318214449886,2678,32.41,-1203.85,-1.39,-0.45,-1.37,32.41,9268,No Promotion
2014-01-02T00:00:00.000Z,2014,Jan,Thu,200173.116752677160,202881.177706232610,6175,32.42,-2708.06,-1.35,-0.44,-1.33,32.41,2678,No Promotion
2014-01-03T00:00:00.000Z,2014,Jan,Fri,326906.074176330640,333806.291873354810,10084,32.42,-6900.22,-2.11,-0.68,-2.07,32.42,6175,No Promotion
2014-01-04T00:00:00.000Z,2014,Jan,Sat,307043.935422161890,313652.348272363540,9470,32.42,-6608.41,-2.15,-0.70,-2.11,32.42,10084,No Promotion
2014-01-05T00:00:00.000Z,2014,Jan,Sun,179188.884487809730,183083.284984026980,5524,32.44,-3894.40,-2.17,-0.70,-2.13,32.42,9470,No Promotion
2014-01-06T00:00:00.000Z,2014,Jan,Mon,306351.950858991880,313446.068148843010,9448,32.43,-7094.12,-2.32,-0.75,-2.26,32.44,5524,Promotion
2014-01-07T00:00:00.000Z,2014,Jan,Tue,224020.409968478340,229533.973728379670,6911,32.42,-5513.56,-2.46,-0.80,-2.40,32.43,9448,No Promotion
2014-01-08T00:00:00.000Z,2014,Jan,Wed,101836.402236237100,99381.967517224926,2990,34.06,2454.43,2.41,0.82,2.47,32.42,6911,No Promotion
2014-01-09T00:00:00.000Z,2014,Jan,Thu,107804.304947231720,104816.458512552640,3159,34.13,2987.85,2.77,0.95,2.85,34.06,2990,No Promotion
2014-01-10T00:00:00.000Z,2014,Jan,Fri,144829.956723930170,141333.996283492540,4246,34.11,3495.96,2.41,0.82,2.47,34.13,3159,Promotion
2014-01-11T00:00:00.000Z,2014,Jan,Sat,146571.482353240160,143179.669988392850,4297,34.11,3391.81,2.31,0.79,2.37,34.11,4246,No Promotion
2014-01-12T00:00:00.000Z,2014,Jan,Sun,95422.372978317100,93126.147238344056,2796,34.13,2296.23,2.41,0.82,2.47,34.11,4297,No Promotion
2014-01-13T00:00:00.000Z,2014,Jan,Mon,114883.173791156240,112186.308663052730,3369,34.10,2696.87,2.35,0.80,2.40,34.13,2796,Promotion
2014-01-14T00:00:00.000Z,2014,Jan,Tue,80090.800079892710,78096.760182251150,2348,34.11,1994.04,2.49,0.85,2.55,34.10,3369,No Promotion
2014-01-15T00:00:00.000Z,2014,Jan,Wed,98945.371159077826,97159.002586869974,2903,34.08,1786.37,1.81,0.62,1.84,34.11,2348,Promotion
2014-01-16T00:00:00.000Z,2014,Jan,Thu,84904.901714107822,83350.433158824555,2491,34.08,1554.47,1.83,0.62,1.86,34.08,2903,No Promotion
2014-01-17T00:00:00.000Z,2014,Jan,Fri,135460.619703985170,132703.335419771670,3968,34.14,2757.28,2.04,0.69,2.08,34.08,2491,No Promotion
2014-01-18T00:00:00.000Z,2014,Jan,Sat,149925.749685775140,146928.411780892350,4393,34.13,2997.34,2.00,0.68,2.04,34.14,3968,Promotion
2014-01-19T00:00:00.000Z,2014,Jan,Sun,74297.307184182937,72782.284321402927,2176,34.14,1515.02,2.04,0.70,2.08,34.13,4393,No Promotion
2014-01-20T00:00:00.000Z,2014,Jan,Mon,83356.424561202701,81789.136122352749,2443,34.12,1567.29,1.88,0.64,1.92,34.14,2176,Promotion
2014-01-21T00:00:00.000Z,2014,Jan,Tue,89922.014286172576,88388.916069159721,2638,34.09,1533.10,1.70,0.58,1.73,34.12,2443,Promotion
2014-01-22T00:00:00.000Z,2014,Jan,Wed,57806.302780099039,57157.282544092297,1704,33.92,649.02,1.12,0.38,1.14,34.09,2638,No Promotion
2014-01-23T00:00:00.000Z,2014,Jan,Thu,63977.750348923553,62863.987239062990,1872,34.18,1113.76,1.74,0.59,1.77,33.92,1704,No Promotion
2014-01-24T00:00:00.000Z,2014,Jan,Fri,116958.799847951970,114823.795223812670,3423,34.17,2135.00,1.83,0.62,1.86,34.18,1872,Promotion
2014-01-25T00:00:00.000Z,2014,Jan,Sat,155272.824805480170,152636.276562365940,4544,34.17,2636.55,1.70,0.58,1.73,34.17,3423,No Promotion
2014-01-26T00:00:00.000Z,2014,Jan,Sun,82885.215909762715,81583.166949853185,2426,34.17,1302.05,1.57,0.54,1.60,34.17,4544,No Promotion
2014-01-27T00:00:00.000Z,2014,Jan,Mon,72353.425882453303,71377.156455436343,2117,34.18,976.27,1.35,0.46,1.37,34.17,2426,No Promotion
2014-01-28T00:00:00.000Z,2014,Jan,Tue,50415.903762389156,49769.098243003224,1476,34.16,646.81,1.28,0.44,1.30,34.18,2117,No Promotion
2014-01-29T00:00:00.000Z,2014,Jan,Wed,67458.301891273790,66529.441996531445,1974,34.17,928.86,1.38,0.47,1.40,34.16,1476,No Promotion
2014-01-30T00:00:00.000Z,2014,Jan,Thu,64640.369313193798,63757.839868452080,1892,34.17,882.53,1.37,0.47,1.38,34.17,1974,No Promotion
2014-01-31T00:00:00.000Z,2014,Jan,Fri,137693.873500331390,135609.507582049670,4030,34.17,2084.37,1.51,0.52,1.54,34.17,1892,No Promotion
2014-02-01T00:00:00.000Z,2014,Feb,Sat,181209.128481212600,178435.715345795940,5304,34.16,2773.41,1.53,0.52,1.55,34.17,4030,Promotion
2014-02-02T00:00:00.000Z,2014,Feb,Sun,113433.581045456970,111466.516847537250,3320,34.17,1967.06,1.73,0.59,1.76,34.16,5304,No Promotion
